text,label
"Receipt from Acevedo, Guzman and Smith dated 1995-08-16 total ('GMD', 'Gambian dalasi') 189",receipt
ID document for Amanda Nelson born 1944-03-26,id_document
"Invoice #3239 dated 1993-08-15 amount ('AFN', 'Afghan afghani') 1374",invoice
"Receipt from Smith and Sons dated 2021-04-11 total ('SRD', 'Surinamese dollar') 387",receipt
Contract between Baker LLC and Braun LLC effective 2005-11-09,contract
"Receipt from Russell PLC dated 1994-08-14 total ('TZS', 'Tanzanian shilling') 240",receipt
"Bank statement for account 14674937 ending balance ('CDF', 'Congolese franc') 39052",bank_statement
ID document for Johnny Lane born 1980-08-07,id_document
ID document for Virginia Lang born 1917-02-02,id_document
"Bank statement for account 68015216 ending balance ('MRO', 'Mauritanian ouguiya') 10422",bank_statement
"Invoice #8292 dated 2007-03-28 amount ('BND', 'Brunei dollar') 1832",invoice
"Bank statement for account 85411162 ending balance ('BND', 'Brunei dollar') 17782",bank_statement
ID document for Zachary Sanford born 1933-06-13,id_document
"Contract between Walls Ltd and Shelton, Cain and Phillips effective 1981-08-21",contract
"Invoice #2665 dated 1991-07-14 amount ('SEK', 'Swedish krona') 3498",invoice
"Receipt from Cruz Ltd dated 2003-02-15 total ('FKP', 'Falkland Islands pound') 235",receipt
"Receipt from Foster-Stone dated 1979-02-28 total ('NGN', 'Nigerian naira') 318",receipt
ID document for Sabrina Richards born 1991-02-11,id_document
"Invoice #7445 dated 1986-07-12 amount ('MAD', 'Moroccan dirham') 3708",invoice
"Invoice #6222 dated 2009-07-13 amount ('EUR', 'Euro') 2272",invoice
"Contract between Mcintosh-Hughes and Cardenas, Duncan and Bishop effective 1999-02-14",contract
"Receipt from Sanders Group dated 2011-01-27 total ('SDG', 'Sudanese pound') 200",receipt
ID document for Heather Miranda born 2010-09-14,id_document
"Receipt from Rivera-Larson dated 2015-03-31 total ('UGX', 'Ugandan shilling') 171",receipt
"Bank statement for account 15485880 ending balance ('BYR', 'Belarusian ruble') 36642",bank_statement
ID document for Jason Cole born 1963-11-10,id_document
Contract between Lee Group and Gonzalez-Kaiser effective 2012-08-04,contract
"Contract between Moore and Sons and Medina, Crawford and Williams effective 1970-08-17",contract
"Invoice #9033 dated 2018-06-23 amount ('MDL', 'Moldovan leu') 4961",invoice
"Receipt from Williams-Edwards dated 2023-01-09 total ('MMK', 'Burmese kyat') 141",receipt
"Bank statement for account 37534885 ending balance ('LSL', 'Lesotho loti') 28789",bank_statement
"Receipt from Compton, Wright and Snyder dated 2000-07-01 total ('ILS', 'Israeli new shekel') 489",receipt
"Invoice #8506 dated 2025-12-08 amount ('INR', 'Indian rupee') 3772",invoice
ID document for Laurie Hicks born 1985-12-02,id_document
"Receipt from Carr-David dated 1979-01-29 total ('SZL', 'Swazi lilangeni') 240",receipt
"Receipt from Peterson-Santana dated 2013-08-13 total ('GHS', 'Ghanaian cedi') 107",receipt
"Contract between Fitzgerald-Garrett and Hughes, Huff and Howell effective 2019-01-02",contract
"Bank statement for account 76559032 ending balance ('IQD', 'Iraqi dinar') 18384",bank_statement
"Receipt from Johnson-Hubbard dated 2024-01-03 total ('GMD', 'Gambian dalasi') 48",receipt
Contract between Ritter Group and Carr and Sons effective 2022-08-05,contract
"Contract between Hale Inc and Lewis, Smith and Mercer effective 2023-08-01",contract
"Bank statement for account 36399300 ending balance ('GMD', 'Gambian dalasi') 42850",bank_statement
ID document for Jessica Hunt born 1965-04-05,id_document
"Contract between Rasmussen, Whitehead and Neal and Melton, Pitts and Lane effective 1986-03-24",contract
"Bank statement for account 23930829 ending balance ('DKK', 'Danish krone') 16682",bank_statement
"Bank statement for account 51585628 ending balance ('GIP', 'Gibraltar pound') 46841",bank_statement
ID document for Diane Chen born 1957-12-19,id_document
ID document for Donald Pierce born 1913-03-11,id_document
"Bank statement for account 45209167 ending balance ('FJD', 'Fijian dollar') 35574",bank_statement
"Contract between Bennett-Farmer and Armstrong, Rodriguez and Martinez effective 2004-07-08",contract
"Receipt from Nelson and Sons dated 2010-01-01 total ('LRD', 'Liberian dollar') 357",receipt
"Bank statement for account 10706023 ending balance ('EGP', 'Egyptian pound') 45156",bank_statement
Contract between Evans-Pittman and Hanna-Ellis effective 1980-09-07,contract
"Receipt from Martin, Fernandez and Campbell dated 2017-02-28 total ('JOD', 'Jordanian dinar') 264",receipt
"Receipt from Munoz, Wade and Jones dated 2013-10-13 total ('DJF', 'Djiboutian franc') 183",receipt
"Bank statement for account 85953818 ending balance ('CUC', 'Cuban convertible peso') 29987",bank_statement
"Invoice #6433 dated 1995-04-29 amount ('MUR', 'Mauritian rupee') 4042",invoice
"Invoice #8964 dated 2000-05-22 amount ('PGK', 'Papua New Guinean kina') 815",invoice
"Bank statement for account 86384550 ending balance ('SAR', 'Saudi riyal') 44905",bank_statement
"Contract between Rivera Ltd and Bishop, Henson and Austin effective 1991-06-28",contract
"Receipt from Moore, Gutierrez and Riggs dated 1978-06-24 total ('HRK', 'Croatian kuna') 440",receipt
ID document for Amy Fox born 1951-02-15,id_document
ID document for Gerald Maxwell born 1955-03-25,id_document
"Bank statement for account 23717743 ending balance ('UGX', 'Ugandan shilling') 43374",bank_statement
"Invoice #6336 dated 2017-10-04 amount ('MUR', 'Mauritian rupee') 4579",invoice
ID document for Shaun Hawkins born 1953-07-14,id_document
"Receipt from Lamb-Shields dated 2016-12-06 total ('GTQ', 'Guatemalan quetzal') 459",receipt
"Bank statement for account 24405987 ending balance ('EUR', 'Euro') 9382",bank_statement
ID document for Shannon Morrow born 1966-04-26,id_document
"Invoice #4167 dated 2023-10-06 amount ('BAM', 'Bosnia and Herzegovina convertible mark') 4071",invoice
"Bank statement for account 43108177 ending balance ('TJS', 'Tajikistani somoni') 17805",bank_statement
ID document for David Dougherty born 1994-11-26,id_document
"Contract between Smith, Nelson and Garcia and Hansen-Walters effective 2021-01-03",contract
ID document for Robert Franklin born 1996-09-02,id_document
"Receipt from Schmidt, Pitts and Briggs dated 2025-06-06 total ('DZD', 'Algerian dinar') 20",receipt
ID document for Daniel Juarez born 1966-12-21,id_document
Contract between Brown PLC and Elliott Group effective 1970-05-09,contract
ID document for Amanda Scott born 1998-03-05,id_document
"Receipt from Koch-Clark dated 2005-02-15 total ('HUF', 'Hungarian forint') 72",receipt
"Bank statement for account 58000341 ending balance ('BSD', 'Bahamian dollar') 14473",bank_statement
"Contract between Miller, Shaw and Garcia and Suarez-Mccarthy effective 1995-10-11",contract
"Receipt from James-Sanchez dated 2005-03-01 total ('RSD', 'Serbian dinar') 331",receipt
"Invoice #8003 dated 2017-04-15 amount ('SEK', 'Swedish krona') 190",invoice
"Receipt from Keller-Chavez dated 2012-11-04 total ('GNF', 'Guinean franc') 244",receipt
Contract between White-Davis and Paul-Young effective 1986-01-16,contract
ID document for Kristen Hogan born 2009-08-27,id_document
"Bank statement for account 62087382 ending balance ('TVD', 'Tuvaluan dollar') 37552",bank_statement
"Receipt from Vazquez Ltd dated 2006-12-03 total ('NOK', 'Norwegian krone') 256",receipt
"Invoice #6971 dated 1977-03-07 amount ('CDF', 'Congolese franc') 2437",invoice
"Receipt from Welch, Greene and Henderson dated 1985-08-02 total ('LKR', 'Sri Lankan rupee') 76",receipt
"Invoice #6339 dated 2012-03-20 amount ('SYP', 'Syrian pound') 2944",invoice
"Invoice #3037 dated 1991-06-17 amount ('TOP', 'Tongan paʻanga') 3328",invoice
ID document for Sara Zhang born 1995-04-05,id_document
ID document for Jason Garcia born 1977-01-01,id_document
"Bank statement for account 20621401 ending balance ('KWD', 'Kuwaiti dinar') 18120",bank_statement
ID document for Daniel Harmon born 2005-09-17,id_document
"Contract between Simmons Ltd and Williams, Ray and Fitzgerald effective 1998-01-17",contract
"Bank statement for account 57435718 ending balance ('HTG', 'Haitian gourde') 40111",bank_statement
"Receipt from Meza Ltd dated 1996-06-26 total ('CZK', 'Czech koruna') 134",receipt
"Receipt from Taylor, Harmon and Miller dated 2014-04-27 total ('ZAR', 'South African rand') 421",receipt
"Invoice #9674 dated 1983-04-20 amount ('KYD', 'Cayman Islands dollar') 1655",invoice
ID document for Jennifer Holland born 1913-11-12,id_document
ID document for Joseph Evans born 2011-11-16,id_document
"Contract between Ward and Sons and Miller, Mullins and Jacobs effective 1974-08-08",contract
"Invoice #5389 dated 2000-09-07 amount ('SGD', 'Singapore dollar') 1731",invoice
"Bank statement for account 11856399 ending balance ('GGP', 'Guernsey pound') 35193",bank_statement
"Invoice #6797 dated 1996-01-03 amount ('KWD', 'Kuwaiti dinar') 434",invoice
"Invoice #5565 dated 2004-09-21 amount ('SLL', 'Sierra Leonean leone') 4733",invoice
"Invoice #5189 dated 2003-09-22 amount ('CUC', 'Cuban convertible peso') 3291",invoice
"Invoice #2210 dated 1984-02-13 amount ('BHD', 'Bahraini dinar') 3477",invoice
ID document for Robert Mckenzie born 1925-08-16,id_document
"Contract between Alvarez, Hughes and Wilson and Campbell, Hensley and Barnes effective 1981-05-10",contract
"Bank statement for account 88748360 ending balance ('LYD', 'Libyan dinar') 2048",bank_statement
"Invoice #2115 dated 2004-06-21 amount ('AUD', 'Australian dollar') 4247",invoice
"Receipt from Nichols-Cohen dated 2003-05-14 total ('RSD', 'Serbian dinar') 482",receipt
"Invoice #8245 dated 1997-03-04 amount ('SYP', 'Syrian pound') 4512",invoice
"Receipt from Martinez-Garza dated 2017-10-23 total ('PHP', 'Philippine peso') 484",receipt
"Bank statement for account 26842017 ending balance ('CZK', 'Czech koruna') 2662",bank_statement
"Invoice #5938 dated 2022-10-01 amount ('AFN', 'Afghan afghani') 3040",invoice
"Invoice #7096 dated 2008-09-25 amount ('UYU', 'Uruguayan peso') 1634",invoice
"Receipt from Campbell-Mcmillan dated 1980-04-11 total ('CAD', 'Canadian dollar') 260",receipt
"Invoice #6410 dated 2024-07-29 amount ('SAR', 'Saudi riyal') 4130",invoice
"Contract between Hill, Roach and Vasquez and Smith, Brown and Miller effective 1979-04-13",contract
"Bank statement for account 64913410 ending balance ('LSL', 'Lesotho loti') 41932",bank_statement
"Bank statement for account 83192065 ending balance ('TJS', 'Tajikistani somoni') 43042",bank_statement
